parcel_id_str,farmer,district,mandal,crop,acreage,health,risk,confidence,lat,lng,ndvi,evi,ndre
WG-00001,Srinivasa Rao,West Godavari,Achanta,Red Gram,8.65,69.5,Medium,86,16.584778,81.801381,0.85,0.8,0.51
WG-00002,Lakshmi Devi,West Godavari,Akiveedu,Paddy,0.76,77.4,Low,93,16.602079,81.578381,0.92,0.81,0.63
WG-00003,Venkata Ramana,West Godavari,Attili,Paddy,2.12,66.4,Medium,82,16.696518,81.640085,0.83,0.76,0.58
WG-00004,Sailaja,West Godavari,Bhimavaram,Paddy,3.79,76.9,Low,88,16.56263,81.525922,0.88,0.84,0.55
WG-00005,Ramesh Babu,West Godavari,Elamanchili,Paddy,11.42,74.3,Medium,94,16.620414,81.707686,0.81,0.75,0.58
WG-00006,Padma Priya,West Godavari,Iragavaram,Cotton,2.69,63.4,Medium,89,16.723632,81.755547,0.79,0.69,0.49
WG-00007,Kiran Kumar,West Godavari,Mogalthur,Paddy,3.8,87.4,Low,90,16.431469,81.55259,0.92,0.8,0.67
WG-00008,Anitha,West Godavari,Narasapuram,Paddy,2.12,67.3,Medium,83,16.43711,81.606614,0.75,0.66,0.53
WG-00009,Satyanarayana,West Godavari,Palacoderu,Paddy,1.38,66.1,Medium,86,16.579276,81.603689,0.79,0.76,0.52
WG-00010,Rajeshwari,West Godavari,Palacole,Paddy,7.69,78.7,Low,91,16.550433,81.739301,0.92,0.85,0.56
WG-00011,Mohan Rao,West Godavari,Pentapadu,Paddy,11.24,65.5,Medium,90,16.772594,81.605658,0.77,0.72,0.57
WG-00012,Divya,West Godavari,Penugonda,Paddy,6.74,77.0,Low,93,16.637133,81.835334,0.85,0.73,0.54
WG-00013,Prasad,West Godavari,Penumantra,Chilli,8.79,67.7,Medium,92,16.604191,81.715325,0.87,0.81,0.53
WG-00014,Swapna,West Godavari,Poduru,Paddy,2.16,68.7,Medium,88,16.613617,81.75814,0.76,0.69,0.51
WG-00015,Naresh,West Godavari,Tadepalligudem,Paddy,10.6,75.3,Low,87,16.962105,81.542182,0.83,0.8,0.58
WG-00016,Bhavani,West Godavari,Tanuku,Maize,1.87,64.7,Medium,86,16.795503,81.651637,0.76,0.71,0.54
WG-00017,Srinivasa Rao,West Godavari,Undi,Paddy,3.16,65.4,Medium,81,16.630924,81.411115,0.77,0.71,0.56
WG-00018,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,5.33,79.4,Low,90,16.567024,81.643892,0.89,0.79,0.53
WG-00019,Venkata Ramana,West Godavari,Ganapavaram,Paddy,5.9,82.2,Low,92,16.685476,81.567505,0.85,0.78,0.61
WG-00020,Sailaja,West Godavari,Kalla,Paddy,6.04,81.5,Low,87,16.449787,81.382179,0.91,0.85,0.59
WG-00021,Srinivasa Rao,West Godavari,Achanta,Red Gram,11.9,77.4,Low,91,16.594025,81.853326,0.85,0.82,0.63
WG-00022,Lakshmi Devi,West Godavari,Akiveedu,Paddy,1.79,78.5,Low,89,16.602037,81.666753,0.87,0.81,0.6
WG-00023,Venkata Ramana,West Godavari,Attili,Paddy,7.98,71.7,Medium,83,16.680128,81.554777,0.88,0.77,0.54
WG-00024,Sailaja,West Godavari,Bhimavaram,Paddy,1.29,77.1,Low,85,16.445088,81.49345,0.89,0.84,0.63
WG-00025,Ramesh Babu,West Godavari,Elamanchili,Cotton,9.87,73.3,Medium,89,16.811607,81.501482,0.79,0.75,0.51
WG-00026,Padma Priya,West Godavari,Iragavaram,Cotton,11.51,66.0,Medium,87,16.644981,81.759513,0.88,0.81,0.53
WG-00027,Kiran Kumar,West Godavari,Mogalthur,Paddy,10.11,70.8,Medium,89,16.416255,81.652818,0.76,0.68,0.6
WG-00028,Anitha,West Godavari,Narasapuram,Paddy,9.22,74.6,Medium,92,16.364922,81.705902,0.84,0.82,0.57
WG-00029,Satyanarayana,West Godavari,Palacoderu,Paddy,10.56,78.1,Low,94,16.539169,81.524025,0.89,0.85,0.57
WG-00030,Rajeshwari,West Godavari,Palacole,Paddy,1.81,88.0,Low,90,16.564981,81.729071,0.87,0.78,0.59
WG-00031,Mohan Rao,West Godavari,Pentapadu,Chilli,4.36,76.6,Low,94,16.765429,81.470966,0.92,0.81,0.57
WG-00032,Divya,West Godavari,Penugonda,Red Gram,6.66,72.9,Medium,88,16.650639,81.81401,0.83,0.76,0.52
WG-00033,Prasad,West Godavari,Penumantra,Paddy,1.84,75.6,Low,85,16.645764,81.725258,0.88,0.78,0.54
WG-00034,Swapna,West Godavari,Poduru,Paddy,7.4,89.9,Low,91,16.592893,81.791275,0.92,0.85,0.61
WG-00035,Naresh,West Godavari,Tadepalligudem,Paddy,3.47,78.5,Low,93,16.898876,81.633332,0.81,0.74,0.63
WG-00036,Bhavani,West Godavari,Tanuku,Paddy,5.2,87.4,Low,97,16.795072,81.608139,0.86,0.79,0.66
WG-00037,Srinivasa Rao,West Godavari,Undi,Paddy,3.07,79.5,Low,90,16.595848,81.454735,0.92,0.85,0.6
WG-00038,Lakshmi Devi,West Godavari,Veeravasaram,Paddy,8.43,68.3,Medium,85,16.605358,81.658089,0.8,0.74,0.58
